,seed,actions
66,3863890066,"[2, 2, 0, 2, 1, 2, 2, 0, 3, 0, 0, 0, 3, 1, 0, 2, 1, 1, 1, 1, 3, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 1, 3, 1, 0, 2, 1, 2, 2, 0, 3, 0, 0, 0, 3, 3, 1, 2, 1, 2, 1, 1, 3, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 2, 0, 3, 0, 3, 0, 0, 2, 1, 3, 1, 1, 3, 1, 0, 2, 0, 0, 2, 1, 0, 3, 1, 1, 1, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 0, 1, 2, 0, 3, 3, 1, 3, 3, 0, 2, 3, 3, 1, 2, 2, 2, 2, 0, 0, 3, 1, 0, 0, 0, 2, 1, 3, 1, 1, 3, 1, 2, 3, 3, 3, 0, 2, 2, 2, 2, 0, 1, 2, 1, 3, 2, 3, 0, 0, 3, 1, 3, 1, 2, 3, 3, 3, 0, 2, 2, 2, 0, 0, 0, 2, 1, 3, 1, 1, 2, 2, 1, 3, 0, 0, 1, 1, 3, 2, 2, 0, 3, 0, 3, 0, 0, 2, 1, 3, 1, 1, 1, 3, 0, 1, 2, 2, 2, 0, 3, 3, 0, 0, 2, 1, 0, 3, 1, 1, 1, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 2, 0, 1, 2, 0, 3, 3, 3, 3, 1, 2, 3, 3, 0, 2, 2, 2, 2, 1, 3, 2, 2, 0, 3, 3, 0, 0, 2, 1, 0, 3, 1, 1, 1, 3, 0, 1, 2, 0, 0, 2, 1, 0, 1, 3, 1, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 2, 3, 3]"
67,3863890067,"[3, 3, 1, 3, 1, 2, 3, 0, 2, 0, 0, 3, 1]"
68,3863890068,"[0, 3, 3, 2, 2, 1, 1, 3, 0, 1, 2, 0, 0, 3]"
69,3863890069,[]
70,3863890070,[]
71,3863890071,"[1, 1, 2, 2, 0, 0, 3, 2, 1, 1, 3, 3, 0, 2, 3, 1, 2, 0, 0, 2, 0, 3, 3, 1, 0, 2, 2, 1, 3, 1, 1, 2, 0, 3, 0, 3, 1, 2, 2, 0]"
72,3863890072,"[1, 2, 0, 3, 1, 3, 2, 0, 2, 0, 0, 0]"
73,3863890073,"[1, 0, 0, 0, 0, 3, 1, 0, 2, 1, 1, 1, 1, 3, 3]"
74,3863890074,"[3, 1, 1, 1, 2, 0]"
75,3863890075,"[2, 3, 2, 0, 0, 2, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 3, 1, 1, 1, 2, 0, 3, 0, 0, 2, 2, 3, 1, 0, 3, 1, 1, 1, 2, 0, 3, 0, 0, 2, 2, 1, 2, 2, 0, 3, 3, 3, 1, 0, 3, 2, 3, 1, 1, 1, 2, 0, 3, 0, 2]"
76,3863890076,"[0, 2, 1, 3, 0, 2, 0, 2, 1, 3, 1, 1, 0, 3, 0, 2, 2, 1, 1]"
77,3863890077,[]
78,3863890078,[]
79,3863890079,"[2, 2, 0, 2, 0, 3, 1, 1, 3, 3, 0, 2, 2]"
80,3863890080,[]
81,3863890081,[]
82,3863890082,[]
83,3863890083,"[1, 3, 1, 3, 1, 1, 2, 0, 3, 2, 2, 0, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 1, 1, 3, 0, 1, 3, 0, 2, 3, 1, 2, 2, 0, 0, 0, 3, 1, 2, 1, 1, 3, 3, 0, 0, 1, 0, 2, 2, 1, 3, 1, 0, 2, 0, 3, 3, 1, 1]"
84,3863890084,[]
85,3863890085,[]
86,3863890086,"[1, 3, 2, 3, 1, 3, 3, 0, 3, 0, 3, 1, 1, 2, 0, 2, 2, 1, 3, 2, 0, 3, 3, 0, 3, 1, 1, 2, 0, 0, 2, 1, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 2, 2, 0, 3, 3, 1, 2, 0, 3, 0, 3, 3, 1, 1, 2, 0, 1, 2, 3, 2, 0, 0, 3, 1, 0, 2, 1, 1, 2]"
87,3863890087,"[2, 1, 0, 0, 2, 0, 0, 0, 3, 1, 0, 2, 1, 1, 1, 3, 1, 1, 2, 0, 3, 0, 0, 2, 1, 0, 3, 1, 1, 1, 2, 0, 3, 0, 0, 2, 0, 0, 3, 1, 1, 1, 1, 2, 0, 0, 0]"
